"","x"
"1003","The Effect of Interactive E-learning on the Knowledge of ICU Nurses Regarding Delirium"
"1004","Determining the effects of traditional learning approach and interactive learning activities on personal and professional factors among Saudi intern nurses"
"1005","Where and how to learn: The interactive benefits of contextual variation, restudying, and retrieval practice for learning"
"1006","Orgatronics: A Physically Interactive Videogame for Learning Biology Concepts Using IoT Technologies"
"1007","Using Serious Games for Learning British Sign Language Combining Video, Enhanced Interactivity, and VR Technology"
"1008","Learning From Music to Visual Storytelling of Shots: A Deep Interactive Learning Mechanism"
"1009","Grid-Interactive Multi-Zone Building Control Using Reinforcement
  Learning with Global-Local Policy Search"
"1010","THE IMPACT OF AN INTERACTIVE E-LEARNING PLATFORM ON PATIENT COMPREHENSION REGARDING INFERTILITY TREATMENT: A RANDOMIZED CLINICAL TRIAL"
"1011","Development of Interactive Learning Application for Vocational High School"
"1012","Escape to Create an Interactive and Engaging Learning Experience"
"1013","Augmented Reality Based Learning Media as Interactive Learning Innovation to Enhanced Vocational School Learning Outcomes"
"1014","CLEVR: A Customizable Interactive Learning Environment for Users with Low Vision in Virtual Reality"
"1015","A Learner-Centered Education Strategy: Optimizing an Interactive and Multimodal Learning Format in Orthopaedic Hip &amp; Knee Arthroplasty"
"1016","Learning to Engage with Interactive Systems"
"1017","The Concept of Using Interactive Educational Media with Problem-Posing Interaction Flow in Basic Programming Learning"
"1018","Effect of interactive lectures and formative assessment on learning of epidemiology by medical undergraduates – A mixed-methods evaluation"
"1019","The Effectiveness of the Use of Learning Media of Interactive Multimedia in Facial Skin Care Courses"
"1020","Invertebrate-Interactive Dichotomous Key Media: Enhance Students Learning Motivation in Lower Secondary School"
"1021","Interactive e-Learning Electrocardiogram Module: Increasing Confidence and Interpretation Ability Among Family Nurse Practitioner Students"
"1022","Multi-Modal Interactive Task Learning from Demonstrations and Natural Language Instructions"
"1023","The Impact of Interactive Smart Boards on Students' Learning in Secondary Schools in Botswana: A Students' Perspective."
"1024","Interactive Tool Using Augmented Reality (AR) for Learning Knee and Foot Anatomy Based on CT Images 3D Reconstruction"
"1025","On the coercivity condition in the learning of interacting particle
  systems"
"1026","Natural Control of Virtual Models of Mechanisms Using Leap Motion for Interactive Learning"
"1027","Increasing Student Activeness in Online Learning with the Discovery Learning Model and Interactive Media"
"1028","Learning analytics in synchronous online education: Making video conferencing more data-driven and interactivity-focused"
"1029","ENHANCING ENGLISH VOCABULARY USING CLT METHOD TOWARD SLB D STUDENTS VIA ZOOM APPLICATION AS INTERACTIVE LEARNING MEDIA"
"1030","Design of a Mobile Application for the Learning of People with Down Syndrome through Interactive Games"
"1031","Photorealistic 3D Models and Interactive Learning Content for a Machine Elements E-Course"
"1032","Multimedia interactive learning of pictorial projection mechanical engineering skills in vocational high schools"
"1033","Using of interactive web-based electric drive design tools in e-learning in pandemic time"
"1034","A Near-Peer Educational Model for Online, Interactive Learning in Emergency Medicine"
"1035","The Influence of Interactive Learning Materials on Solving Tasks That Require Different Types of Mathematical Reasoning"
"1036","ANALYSIS OF FEASIBILITY LEVEL OF INTERACTIVE LEARNING MEDIA ON WORKSHOP WORK SUBJECTS AND TECHNICAL DRAWING"
"1037","Interactive ICT Language Games in Encouraging Active Learning among the Suburban ESL Learners"
"1038","The Effect of Interactive Multimedia and Learning Styles on Students' Physics Creative Thinking Skills"
"1039","XQM: Interactive Learning on Mobile Phones"
"1040","The Use of Interactive Learning Media for Teachers in Rural Areas"
"1041","An Analysis on the Need for Mobile Learning-Based Interactive Learning Media in Vocational High School"
"1042","An Analysis of Application of Interact Function in Higher Education Internet System—A Case Study of Canvas Learning Management System"
"1043","The effect of the number of hints accompanying content in interactive videos on achieving some learning outcomes for female students in Hail schools"
"1044","Dialogic-Interactive Media Design for Language Learning To Improve Speaking Activities and Skills"
"1045","A heutagogical interactive tutorial involving Fishbowl with Fish Battle and Round Robin Brainstorming: A novel syndicate metacognitive learning strategy"
"1046","METHODOLOGICAL ASPECTS OF THE ORGANIZATION OF THE LEARNING PROCESS WITH THE USE OF MODERN INTERACTIVE TEACHING METHODS"
"1047","Interactive MATLAB based project learning in a robotics course: Challenges and achievements"
"1048","Interactive 360-Degree Virtual Reality into e-Learning Content Design"
"1049","Interacting with native speakers of Chinese through online learning communities: A case study with East Asian learners"
"1050","Application of Collaborative Learning Method: Interactive and Online Learning to Improve Effective Communication Based on Online Media and Website Government Public Relations Learning"
"1051","Redesigning face to face simulation into interactive online learning"
"1052","Dissemination of Best Practices in Preterm Care Through a Novel Mobile Phone-Based Interactive e-Learning Platform"
"1053","The Impact of Evidence-Based Dialogic Training of Special Education Teachers on the Creation of More Inclusive and Interactive Learning Environments"
"1054","ILoSA: Interactive Learning of Stiffness and Attractors."
"1055","An Interactive Adaptable Learning Interfacefor E-Learning Sessions"
"1056","CURRENT STATE OF FORMATION OF READYNESS OF PRIMARY PRIMARY SCHOOL TEACHERS FOR INTRODUCTION OF TECHNOLOGIES OF INTERACTIVE LEARNING IN THE PROFESSIONAL PROFESSIONAL"
"1057","Towards an Interactive Learning Ecosystem: Education in Power Systems."
"1058","Developing online interactive learning media by using easyclass with geogebra to help students representation mathematic on linear programming"
"1059","Speaking with machines: interacting with bots for language teaching and learning"
"1060","A PROTOTYPE OF AN ASYNCHRONOUS INTERACTIVE LEARNING SYSTEM FOR SPEAKING PRACTICE"
"1061","Fostering Interaction in Higher Education with Deliberate Design of Interactive Learning Videos"
"1062","Ambient Learning Spaces: Systemic Learning in Physical-Digital Interactive Spaces"
"1063","Interactive learning methods factor development of students’ knowledge level"
"1064","Development of interactive learning media based on guided inquiry in chemical equilibrium"
"1065","Actions to enhance interactive learning in surgery"
"1066","An interactive learning environment to empower engagement in Mathematics"
"1067","Students' Perceptions of Interactive Multimedia Applications in the 21st Century Teaching and Learning Process"
"1068","Improving student cognitive learning outcomes through the development of interactive multimedia-based biology learning at Muhammadiyah University, Bengkulu"
"1069","Assessing the Effectiveness of Smartphone Usage to Interact with Learning Materials in Independent Learning Outside of Classrooms among Undergraduate Students"
"1070","Using interactive technologies and distance learning in sustainable education"
"1071","Revealing Deep Interaction Patterns of Team Learning Processes through Video-based Interactive Analysis"
"1072","An interactive teaching/learning approach to the design of robust linear control systems using the closed-loop shaping methodology"
"1073","The Development of a Virtual World Problem-Based Learning Tutorial and Comparison With Interactive Text-Based Tutorials"
"1074","Using Interactive Apps to Support Learning of Elementary Maths in Multilingual Contexts: Implications for Practice and Policy Development in a Digital Age"
"1075","Features of application of interactive games in conditions of distance learning"
"1076","Optimizing Model Training in Interactive Learning Scenarios"
"1077","Impact of Interactive Learning Environments on Learning and Cognitive Development of Children With Special Educational Needs: A Literature Review"
"1078","Collective and Informal Learning in the ViewpointS Interactive Medium"
"1079","Examining the Primacy and Recency Effect on Learning Effectiveness with the Application of Interactive Response Systems (Irs)"
"1080","Perceived Satisfaction and Perceived Usefulness of E- Learning: The Role of Interactive Learning and Social Influence"
"1081","The Relationship between Students’ Learning Motivation and Learning Outcomes through Guided Discovery Model Assisted Video and Interactive Simulation"
"1082","Escaping the Classroom: Replacing Traditional Lecture With Interactive Learning Stations in Nursing Education"
"1083","Validity and practicality of worksheet assisted by PhET interactive simulations to improve students creative thinking skills in a research based learning model"
"1084","Breaking bad news: A randomized controlled trial to test a novel interactive course for medical students using blended learning"
"1085","Interactive Human–Robot Skill Transfer: A Review of Learning Methods and User Experience"
"1086","Practicality of interactive multimedia of natural science integrated with the theme of motion in life using an integrated scientific approach to 21st-century learning"
"1087","Students’ self-regulation learning ability in learning algebraic forms in wetland context with the help of interactive multimedia"
"1088","Interactive M-Learning Design Innovation using Android-Based Adobe Flash at WFH (Work From Home)"
"1089","Adults With Special Educational Needs Participating in Interactive Learning Environments in Adult Education: Educational, Social, and Personal Improvements. A Case Study"
"1090","Human Knowledge Based Efficient Interactive Data Annotation via Active Weakly Supervised Learning"
"1091","Interactive Theorem Prover Based on Calculational Logic to Assist Finite Difference and Summation Learning"
"1092","MySimB’ : Interactive tool for learning Simpulan Bahasa through educational website"
"1093","Didactic Strategy: Interactive Digital Board in Teaching Learning Heat Capacity for High School."
"1094","DFILN: Deep Feature-interactive Learning Network for Object Detection"
"1095","‘CLASSKICK’ an interactive online app to Support Students’ Learning: A case study on Mandarin as a foreign learning"
"1096","Educational Concept for Citizens’ Awareness Towards Technological Advancements for a Sustainable Society—Introducing a Concept for Interactive Societal Learning on Hydrogen and Carbon"
"1097","Alternative Design For An Interactive Exhibit Learning In Museums: How Does User Experience Differ Across Different Technologies-VR, Tangible, And Gesture"
"1098","Examining knowledge construction in three social interactive learning environments: a comparison of knowledge networks, social networks, and social knowledge networks"
"1099","Modeling of an interactive distance learning platform by means of modern information technologies"
"1100","An intelligent system to support planning interactive learning segments in online education"
"1101","2 Researching with Children as an Opportunity for Active and Interactive Learning: Lessons from a Digital Game Design Project"
"1102","Playing with Food: Learning Food Item Representations Through Interactive Exploration"
"1103","Non-interactive, Secure Verifiable Aggregation for Decentralized, Privacy-Preserving Learning"
"1104","Comparative Analysis on the Effects of Natural & Artificial Indoors Lighting on the Learning and Interactive Process"
"1105","Interactive Pictorial Story as Learning Media for Third Grade Students"
"1106","PROJECT-BASED LEARNING IN DESIGN AND MULTIMEDIA IN HIGHER EDUCATION: AN INTERACTIVE TIMELINE DEVELOPED IN COLLABORATION"
"1107","Online Interactive Innovation: Learning from Customer Knowledge"
"1108","Innovation of Interactive Multimedia Based on Guided Inquiry Using Articulate Storyline 3 as A Learning Media for Carbon and Silicone Materials in Non-Metal Inorganic Chemistry Courses"
"1109","Tackling Fake News Detection by Interactively Learning Representations using Graph Neural Networks"
"1110","Promoting Prezi-PowerPoint presentation in mathematics learning: the development of interactive multimedia by using ADDIE model"
"1111","LIFH: Learning Interactive Features from HTTP Payload using Image Reconstruction"
"1112","Attribute Prototype Learning for Interactive Face Retrieval"
"1113","Designing Multi-disciplinary Interactive Virtual Environments for Next-Generation Immersive Learning Experiences: Case Studies and Future Directions in Astrobiology, Anatomy and Cultural Heritage"
"1114","Interactive Video Acquisition and Learning System for Motor Assessment of Parkinson's Disease"
"1115","Expanding Task Diversity in Explanation-Based Interactive Task Learning"
"1116","Unpacking Human Teachers’ Intentions for Natural Interactive Task Learning"
"1117","Web Enhanced Course-Based Virtual Reality as an Interactive Molta Model Implementation for Entrepreneurship Learning"
"1118","Construction of Two Way Interactive and Cooperative Teaching Mode between College English Teachers and Students under the Network Autonomous Learning Platform"
"1119","Research and Practice of Traditional Handicraft Interactive Learning Mode Based on User Interaction Behavior"
"1120","Levels of Immersion for Language Learning from 2D to Highly Immersive Interactive VR"
"1121","Students Learning Motivation and Concepts Understanding of Science through the Use of PhET Interactive Simulations"
"1122","Enriching learning through interactive technologies in the online, blended and face-to-face contexts"
"1123","Increasing Engagement during Online Learning through the Use of Interactive Slides"
"1124","Situated language learning via interactive narratives"
"1125","Image-to-video person re-identification using three-dimensional semantic appearance alignment and cross-modal interactive learning"
"1126","Who Belongs in School? Using Statistical Learning Techniques to Identify Linear, Nonlinear and Interactive Effects"
"1127","Interactive Dynamic Walking: Learning Gait Switching Policies With Generalization Guarantees"
"1128","A Smart Education Solution for Adaptive Learning with Innovative Applications and Interactivities"
"1129","Effect of Digital Learning With an Interactive eBook on Electrocardiogram Interpretation Among Clinical Nurses"
"1130","Algodoo for Interactive Learning: Effects on Students’ Achievement and Motivation Towards Science"
"1131","Virtual SSA-interactive distance learning in Wales"
"1132","Cognitive architecture for intuitive and interactive task learning in industrial collaborative robotics"
"1133","Piloting Data Science Learning Platforms through the Development of Cloud-based interactive Digital Computational Notebooks"
"1134","Interactive E-Module of Integrated Science with Connected Type as Learning Supplement on Energy Topic"
"1135","Architectural framework for an interactive learning toolkit"
"1136","Effectiveness Of Quizizz in Interactive Teaching and Learning Malay Grammar"
"1137","Investigation of the Impact of Augmented Reality Technology on Interactive Teaching Learning Process"
"1138","Demonstration + Natural Language: Multimodal Interfaces for GUI-Based Interactive Task Learning Agents"
"1139","Learning Human-Object Interaction via Interactive Semantic Reasoning"
"1140","DataStory™: an interactive sequential art approach for data science and artificial intelligence learning experiences"
"1141","Learning From Demonstration and Interactive Control of Variable-Impedance to Cut Soft Tissues"
"1142","Effect of interactive video-based instruction on learning performance in relation to social skills of children with intellectual disability"
"1143","Dynamic and Interactive Tools to Support Teaching and Learning"
"1144","The use of interactive screencasts to promote active and engaged learning in the Further Education mathematics classroom: A descriptive case study from North East England"
"1145","MySimB’: An Interactive Learning Malay Idioms with Augmented Reality"
"1146","Interactive and Adaptive Learning Content Authoring Framework for an M-Learning Toolkit"
"1147","Pharmacist-Facilitated Interactive E-Learning for Patients Newly Initiated on Warfarin: A Randomised Controlled Study"
"1148","Improving online learning interactivity with 3D virtual classroom models"
"1149","Learning and Interactive Design of Shared Control Templates"
"1150","Development Training of Android-Based Interactive Learning Application as Supporting Media in Online Learning"
"1151","Comparing Remote Learning Between Live Lectures and Self-paced Interactive Tutorials for Learning an Introduction to Blockchain"
"1152","Learning Processes in Interactive CALL Systems: Linking Automatic Feedback, System Logs, and Learning Outcomes"
"1153","Analisa User Experience pada TFME Interactive Learning Media Menggunakan User Experience Questionnaire"
"1154","Imagining the Other for Interactive Digital Narrative Design Learning in Real Time in Sherlock"
"1155","The Effect of Interactive Digital Learning Module on Student’s Learning Activity and Autonomy"
"1156","IGS-Net: Seeking Good Correspondences via Interactive Generative Structure Learning"
"1157","Topic Extraction and Interactive Knowledge Graphs for Learning Resources"
"1158","Developing a Personalised Learning Model Based on Interactive Novels to Improve the Quality of Mathematics Education"
"1159","Development of interactive learning media for low and overhead passing techniques in volleyball based on android technology using MIT app inventor"
"1160","Developing Android-Based Interactive E-Modules on Trigonometry to Enhance the Learning Motivation of Students"
"1161","THE MECHANISM OF INTERACTIVE LEARNING FUNCTIONING (ON THE EXAMPLE OF TEACHING RUSSIAN AS A FOREIGN LANGUAGE)"
"1162","Learning Interaction Kernels in Mean-Field Equations of First-Order Systems of Interacting Particles"
"1163","GESUS, an Interactive Computer Application for Teaching and Learning the Space Groups of Symmetry"
"1164","Developing a Multimodal Interactive Learning Environment to Enhance the Reading Comprehension of Grade 4 Students in the UAE Public Schools"
"1165","Gala: An Open-Access Platform for Interactive Learning With Sustainability Case Studies"
"1166","From EFL Teachers’ Perspective: Impact of EFL Learners’ Demotivation on Interactive Learning Situations at EFL Classroom Contexts"
"1167","Development of Interactive Story Book For Ecoliteration Learning to Stimulate Reading Interest in Early Grade Students Elementary School"
"1168","Development of interactive learning media in computer network using augmented reality technology"
"1169","Hybrid Service-Learning Group Project in the First Semester of a Biochemistry Lecture Course: Developing Interactive Lessons for the Public Library"
"1170","The application of virtual reality technology in the efficiency optimisation of students' online interactive learning"
"1171","Student Responsibilities Towards Online Learning in Interactive Multimedia Courses"
"1172","An Interactive Number Learning Augmented Reality Application for Autistic Preschool Children"
"1173","A Hybrid Learning and Optimization Framework to Achieve Physically Interactive Tasks With Mobile Manipulators"
"1174","Learning with the interactive whiteboard in the classroom: Its impact on vocabulary acquisition, motivation and the role of foreign language anxiety"
"1175","Three decades of interactive learning environments: a retrospective bibliometric network analysis"
"1176","Interactive Response System to Promote Active Learning in Intelligent Learning Environments"
"1177","Weakly Supervised Occupancy Prediction Using Training Data Collected via Interactive Learning"
"1178","A Progressive Three-Stage Teaching Method Using Interactive Classroom Activities to Improve Learning Motivation in Computer Networking Courses"
"1179","A Short Intervention and an Interactive e-Learning Module to Motivate Medical and Dental Students to Enlist as First Responders: Implementation Study"
"1180","Learning Media for Basic Physics using Interactive Web-based Simulation"
"1181","DeepInteract: Multi-view features interactive learning for sequential recommendation"
"1182","Learning to Pick at Non-Zero-Velocity from Interactive Demonstrations"
"1183","The learning curve in bladder MRI using VI-RADS assessment score during an interactive dedicated training program"
"1184","Creating a Hybrid Multi-User Learning Experience by Enhancing Learning Factories Using Interactive 3d-Environments"
"1185","Enhancement of Students’ Learning Outcomes through Interactive Multimedia"
"1186","Interactive multimedia based on cultural diversity to improve the understanding of civic concepts and learning motivation"
"1187","DIAL: Deep Interactive and Active Learning for Semantic Segmentation in Remote Sensing"
"1188","Research on the influence of online bullet screen interactive teaching on high school students' art learning investment"
"1189","Interactive multimedia based on Indonesian cultural diversity in Civics learning in elementary schools"
"1190","Cloud-Based Interactive Hands free E-Learning Environment for Students with Disabilities"
"1191","The Effect of Interactive Multimedia to Improve the Cognitive Learning Outcome in Senior High School’s Student"
"1192","Association analysis of online learning behaviour in interactive education based on an intelligent concept machine"
"1193","Code Pocket: Development of Interactive Online Learning of STEM’s Subject"
"1194","Multimodel Sensor Fusion for Learning Rich Models for Interacting Soft
  Robots"
"1195","Construction of a Tangible VR-Based Interactive System for Intergenerational Learning"
"1196","AP-TLB-IGWO: Adult-pup teaching-learning based interactive grey wolf optimizer for numerical optimization"
"1197","Systematic Literature Review: Improving Self Regulated Learning Through The Flipped Classroom Model Based on Interactive E-Books"
"1198","The Influence of Online Teaching Interactive Behaviors on Sustained Learning Results of Learners"
"1199","DFIL: an Efficient Web Service Prediction Method based on Deep Feature Interactive Learning"
"1200","ANGraph: attribute-interactive neighborhood-aggregative graph representation learning"
"1201","Going into Depth: Learning from a Survey of Interactive Designs for Aquatic Recreation"
"1202","Consolidating EFL content and vocabulary learning via interactive reading"
"1203","Using Flipgrid as an Interactive Application to Improve Filipino Students’ Engagement in Language Flexi-Learning"
"1204","Exploring Effect of Level of Storytelling Richness on Science Learning in Interactive and Immersive Virtual Reality"
"1205","Do graphic and textual interactive content organizers have the same impact on hypertext processing and learning outcome?"
"1206","Model of Interrelated Problems of Studying Interactive Learning at the University"
"1207","Interactive Robot Task Learning: Human Teaching Proficiency with Different Feedback Approaches"
"1208","Inductive Link Prediction via Interactive Learning Across Relations in Multiplex Networks"
"1209","Early warning mechanism of interactive learning process based on temporal memory enhancement model"
"1210","Students’ Learning on Sustainable Development Goals through Interactive Lectures and Fieldwork in Rural Communities: Grounded Theory Approach"
"1211","Contrastive Learning for Interactive Recommendation in Fashion"
"1212","Generative adversarial interactive imitation learning for path following of autonomous underwater vehicle"
"1213","Development of Web Programming Interactive Learning Multimedia in Vocational Middle School"
"1214","Press, Swipe, and Read: Do Interactive Features Facilitate Engagement and Learning With e-Books?"
"1215","Interactive Network Visualization of Learning Progressions"
"1216","The Development of Interactive Learning Media Based on Macromedia Flash for Economics Lessons in High School"
"1217","Fostering complex professional skills with interactive simulation technology: A virtual reality‐based flipped learning approach"
"1218","Online interactive face-to-face learning in mathematics in engineering education"
"1219","Randomization of Explainable and Interactive Simulated Annealing Strategy for Better Learning to Rank Models"
"1220","Mapping Digital Storytelling in Interactive Learning Environments"
"1221","Influence of psychological autonomy support of peer instruction: A novel interactive approach using Instagram in language learning"
"1222","DeepEdit: Deep Editable Learning for Interactive Segmentation of 3D Medical Images"
"1223","Interactive Auido-text Representation for Automated Audio Captioning with Contrastive Learning"
"1224","Machine Guides, Human Supervises: Interactive Learning with Global
  Explanations"
"1225","Interactive Contrastive Learning for Self-Supervised Entity Alignment"
"1226","DUI it yourself: Innovation and activities to promote learning by doing, using, and interacting within the firm"
"1227","Meta-Learning Initializations for Interactive Medical Image Registration"
"1228","Deep Interactive Learning-based ovarian cancer segmentation of H&amp;E-stained whole slide images to study morphological patterns of BRCA mutation"
"1229","Designing interactive augmented reality application for student's directed learning of continuous distillation process"
"1230","Creating Interactive Sociocultural Environments for Self-Regulated Learning"
"1231","Using live interactive polling to enable hands-on learning for both face-to-face and online students within hybrid-delivered courses"
"1232","Pedagogical framework to develop interactive virtual tools for the teaching and learning of dynamic systems in Control Engineering"
"1233","Interactive Imitation Learning in Robotics: A Survey"
"1234","An Interactive Learning Environment System on Basic Programming Subjects: Effects of Learning Outcomes and Question Level Patterns"
"1235","Interactive Disentanglement: Learning Concepts by Interacting with their Prototype Representations"
"1236","Dynamic Interactive Learning for Lightweight Detectors in Remote Sensing Imagery"
"1237","Human-Interactive Robot Learning (HIRL)"
"1238","Designing an Interactive Science Exhibit: Using Augmented Reality to Increase Visitor Engagement and Achieve Learning Outcomes"
"1239","INTERACTIVE E-LEARNING APPLICATION FOR STUDYING AND EVALUATING THE PERFORMANCES OF REMOTE FILE SYNCHRONIZATION ALGORITHMS"
